2018-12-14 13:35:53.786 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:307] - -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.rabbitmq.RabbitMQDemoAppTest], using SpringBootContextLoader
2018-12-14 13:35:53.792 [main] INFO  [org.springframework.test.context.support.AbstractContextLoader] [AbstractContextLoader.java:264] - -Could not detect default resource locations for test class [com.rabbitmq.RabbitMQDemoAppTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-14 13:35:53.793 [main] INFO  [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] [AnnotationConfigContextLoaderUtils.java:82] - -Could not detect default configuration classes for test class [com.rabbitmq.RabbitMQDemoAppTest]: RabbitMQDemoAppTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-14 13:35:53.919 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [SpringBootTestContextBootstrapper.java:206] - -Found @SpringBootConfiguration com.rabbitmq.RabbitMQDemoApp for test class com.rabbitmq.RabbitMQDemoAppTest
2018-12-14 13:35:53.926 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:248] - -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-14 13:35:53.959 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:174] - -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2767e23c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@710c2b53, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5386659f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@14028087, org.springframework.test.context.support.DirtiesContextTestExecutionListener@cecf639, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1caa0244, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7ce026d3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7ce69770, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1750fbeb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b247367, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@268f106e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6e9a5ed8]
2018-12-14 13:55:52.427 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:307] - -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.rabbitmq.RabbitMQDemoAppTest], using SpringBootContextLoader
2018-12-14 13:55:52.433 [main] INFO  [org.springframework.test.context.support.AbstractContextLoader] [AbstractContextLoader.java:264] - -Could not detect default resource locations for test class [com.rabbitmq.RabbitMQDemoAppTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-14 13:55:52.434 [main] INFO  [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] [AnnotationConfigContextLoaderUtils.java:82] - -Could not detect default configuration classes for test class [com.rabbitmq.RabbitMQDemoAppTest]: RabbitMQDemoAppTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-14 13:55:52.562 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [SpringBootTestContextBootstrapper.java:206] - -Found @SpringBootConfiguration com.rabbitmq.RabbitMQDemoApp for test class com.rabbitmq.RabbitMQDemoAppTest
2018-12-14 13:55:52.569 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:248] - -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-14 13:55:52.594 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:174] - -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2767e23c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@710c2b53, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5386659f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@14028087, org.springframework.test.context.support.DirtiesContextTestExecutionListener@cecf639, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1caa0244, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7ce026d3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7ce69770, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1750fbeb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b247367, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@268f106e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6e9a5ed8]
2018-12-14 17:19:26.638 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:307] - -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.rabbitmq.RabbitMQDemoAppTest], using SpringBootContextLoader
2018-12-14 17:19:26.646 [main] INFO  [org.springframework.test.context.support.AbstractContextLoader] [AbstractContextLoader.java:264] - -Could not detect default resource locations for test class [com.rabbitmq.RabbitMQDemoAppTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-14 17:19:26.647 [main] INFO  [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] [AnnotationConfigContextLoaderUtils.java:82] - -Could not detect default configuration classes for test class [com.rabbitmq.RabbitMQDemoAppTest]: RabbitMQDemoAppTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-14 17:19:26.772 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [SpringBootTestContextBootstrapper.java:206] - -Found @SpringBootConfiguration com.rabbitmq.RabbitMQDemoApp for test class com.rabbitmq.RabbitMQDemoAppTest
2018-12-14 17:19:26.778 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:248] - -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-14 17:19:26.803 [main] INFO  [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] [AbstractTestContextBootstrapper.java:174] - -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2767e23c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@710c2b53, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5386659f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@14028087, org.springframework.test.context.support.DirtiesContextTestExecutionListener@cecf639, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1caa0244, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7ce026d3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7ce69770, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1750fbeb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b247367, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@268f106e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6e9a5ed8]
